key,en,es
example_message,"Hello","hola"
home_title,"Hello world","Hola mundo"
home_subtitle,"VSR SvelteKit + SST is live.","VSR SvelteKit + SST está en vivo."
home_note,"A simple demo page for now.","Una página de demostración por ahora."
home_hero_headline,"Missouri traffic stop data","Datos de paradas de tráfico en Missouri"
home_hero_subheadline,"Vehicle stops from every agency in Missouri","Paradas de vehículos de cada agencia en Missouri"
home_header_title,"Missouri Vehicle Stops Report","Informe de Paradas de Vehículos de Missouri"
home_donate_button,"Donate","Donar"
home_toc_learn,"Learn more","Aprende más"
home_toc_download,"Download the data","Descargar los datos"
home_toc_donate,"Donate","Donar"
home_location_picker_placeholder,"Type your county or city","Escribe tu condado o ciudad"
home_location_picker_label,"Pick your location","Elige tu ubicación"
home_stat_template,"In {year}, {location} made {stops} traffic stops","En {year}, {location} hizo {stops} paradas de tráfico"
home_stat_default,"Missouri cops made 1.5 million traffic stops in 2023","La policía de Missouri hizo 1.5 millones de paradas en 2023"
home_download_button,"Download data","Descargar datos"
home_explore_button,"Start exploring","Empezar a explorar"
home_cards_heading,"What do you want to know?","¿Qué quieres saber?"
home_card_stops_title,"How many stops","Cuántas paradas"
home_card_stops_description,"Which departments stop the most people","Qué departamentos paran más gente"
home_card_demographics_title,"Who gets stopped","A quién paran"
home_card_demographics_description,"Patterns by race, age, and gender","Patrones por raza, edad y género"
home_card_outcomes_title,"What happens","Qué pasa"
home_card_outcomes_description,"Warnings, tickets, arrests, searches","Advertencias, multas, arrestos, registros"
home_card_searches_title,"Vehicle searches","Registros de vehículos"
home_card_searches_description,"When cops search cars and what they find","Cuándo la policía registra carros y qué encuentra"
home_card_geography_title,"Where it happens","Dónde ocurre"
home_card_geography_description,"Stop patterns by county and road type","Patrones de paradas por condado y tipo de carretera"
home_card_trends_title,"Changes over time","Cambios con el tiempo"
home_card_trends_description,"How patterns shifted year to year","Cómo cambiaron los patrones año tras año"
home_why_heading,"Why this matters","Por qué importa"
home_why_text,"Traffic stops are how most people encounter police. This data shows who gets stopped, why, and what happens next—revealing disparities across Missouri's departments.","Las paradas de tráfico son cómo la mayoría de la gente encuentra a la policía. Estos datos muestran a quién paran, por qué, y qué pasa después—revelando disparidades entre los departamentos de Missouri."
home_about_heading,"About the data","Sobre los datos"
home_about_what_is_heading,"What's in here","Qué hay aquí"
home_about_what_is_content,"Missouri requires police to report data on every traffic stop: who got stopped, why, what happened, and whether the car was searched. We've compiled that data from every department in the state.","Missouri requiere que la policía reporte datos de cada parada de tráfico: a quién pararon, por qué, qué pasó, y si registraron el carro. Compilamos esos datos de cada departamento del estado."
home_about_how_collected_heading,"Where it came from","De dónde vino"
home_about_how_collected_content,"We got the raw data from the Missouri Attorney General and individual departments through public records requests. Then we cleaned it, standardized it, and made it searchable.","Obtuvimos los datos del Fiscal General de Missouri y de departamentos individuales mediante solicitudes de registros públicos. Luego los limpiamos, estandarizamos y los hicimos buscables."
home_about_how_to_use_heading,"How to use it","Cómo usarlo"
home_about_how_to_use_content,"Search any agency to see their full record. Click metrics to compare against statewide numbers. Download the whole dataset if you want to dig deeper.","Busca cualquier agencia para ver su registro completo. Haz clic en las métricas para comparar con los números estatales. Descarga todo el conjunto de datos si quieres profundizar más."
home_about_expand,"Read more","Leer más"
home_about_collapse,"Hide","Ocultar"
home_highlights_heading,"Key findings",""
home_highlight_1_title,"1.5 million stops in 2023",""
home_highlight_1_text,"Missouri cops made 1.5 million traffic stops in 2023. This data shows who gets stopped, why, and what happens next—revealing disparities across departments.",""
home_highlight_2_title,"Search rates vary widely",""
home_highlight_2_text,"Some departments search vehicles 5 times more often than others. Search rates and outcomes differ dramatically depending on location and department policies.",""
home_highlight_3_title,"Most stops end in warnings",""
home_highlight_3_text,"Citations are issued in less than half of all traffic stops statewide. The majority of stops result in warnings rather than tickets or arrests.",""
home_highlight_4_title,"614 agencies reporting",""
home_highlight_4_text,"From small town police to county sheriffs, every law enforcement agency in Missouri reports stop data. This represents the most comprehensive view of traffic enforcement in the state.",""
home_footer_heading,"About this project",""
home_footer_text,"This is an independent data journalism project analyzing Missouri traffic stop records. We believe transparency in policing data helps communities understand and improve public safety.",""
home_footer_cta,"Love our work? Hire us for your next data project.",""
home_footer_contact,"Get in touch",""
home_card_preview_stops,"614 departments tracked statewide","614 departamentos rastreados en todo el estado"
home_card_preview_demographics,"Track patterns across race, age, gender","Rastrea patrones por raza, edad, género"
home_card_preview_outcomes,"From warnings to arrests","Desde advertencias hasta arrestos"
home_card_preview_searches,"Search rates vary widely by department","Las tasas de búsqueda varían ampliamente por departamento"
home_card_preview_geography,"Rural vs urban patterns differ","Los patrones rurales vs urbanos difieren"
home_card_preview_trends,"Year-over-year changes since 2020","Cambios año tras año desde 2020"
home_card_expand,"Learn more","Aprende más"
search_placeholder,"Search agencies","Buscar agencias"
search_aria_label,"Search agencies","Buscar agencias"
search_unknown_agency,"Unknown agency","Agencia desconocida"
search_stops_label,"stops","paradas"
agency_title_suffix,"Agency","Agencia"
agency_preview_label,"Agency preview","Vista previa de la agencia"
agency_slug_label,"Slug","Slug"
agency_type_label,"Agency type","Tipo de agencia"
agency_jurisdiction_label,"Jurisdiction","Jurisdicción"
agency_address_label,"Address","Dirección"
agency_phone_label,"Phone","Teléfono"
agency_location_heading,"Location","Ubicación"
agency_map_loading,"Map loading…","Cargando mapa…"
agency_metadata_heading,"Agency metadata","Metadatos de la agencia"
agency_geocode_summary,"View geocode JSON","Ver JSON de geocodificación"
agency_yearly_data_heading,"Yearly data","Datos anuales"
agency_no_rows,"No row data found.","No se encontraron datos."
agency_entry_label,"Entry","Entrada"
agency_metric_header,"Metric","Métrica"
agency_view_full_json,"View full JSON","Ver JSON completo"
agency_metric_search_placeholder,"Search metrics","Buscar métricas"
agency_metric_search_label,"Search metrics","Buscar métricas"
agency_group_expand_all,"Expand all","Expandir todo"
agency_group_collapse_all,"Collapse all","Contraer todo"
modal_metric_label,"Metric","Métrica"
modal_close,"Close","Cerrar"
modal_no_data,"No data available for this metric.","No hay datos disponibles para esta métrica."
modal_chart_unavailable,"Chart type not available yet.","Tipo de gráfico no disponible aún."
modal_statewide_baselines_heading,"Statewide baselines","Líneas base estatales"
modal_statewide_baselines_subheading,"Mean / median (no MSHP) by race","Media / mediana (sin MSHP) por raza"
modal_no_baselines,"No statewide baselines for this metric.","No hay líneas base estatales para esta métrica."
modal_baseline_race_header,"Race","Raza"
modal_baseline_agency_fallback,"Agency","Agencia"
modal_baseline_mean_header,"Mean","Media"
modal_baseline_median_header,"Median","Mediana"
race_total,"Total","Total"
race_white,"White","Blanco"
race_black,"Black","Negro"
race_hispanic,"Hispanic","Hispano"
race_asian,"Asian","Asiático"
race_other,"Other","Otro"
race_native_american,"Native American","Nativo americano"
agency_rank_label,"rank","rango"
agency_percentile_label,"pct","percentil"
agency_section_label,"Section","Sección"
agency_table_label,"Table","Tabla"
agency_stop_volume_lead,"{agency} had {stops} stops in {year}","{agency} tuvo {stops} paradas de tráfico en {year}"
agency_stop_volume_segment_sentence,"putting it in the {segment} of departments by stop volume","ubicándola en el {segment} de departamentos por volumen de paradas"
agency_stop_volume_segment_top,"top 20%","20% superior"
agency_stop_volume_segment_middle,"middle 60%","60% medio"
agency_stop_volume_segment_bottom,"bottom 20%","20% inferior"
agency_stop_volume_rank_clause,"ranked #{rank} out of {total} departments","clasificada #{rank} de {total} departamentos"
agency_stop_volume_rank_clause_simple,"ranked #{rank}","clasificada #{rank}"
agency_stop_volume_rank_clause_highest,"the highest volume agency in the state","la agencia de mayor volumen del estado"
agency_download_data_for,"Download data for {agency}","Descargar datos de {agency}"
agency_download_all_data,"Download all data","Descargar todos los datos"
table_disparity-index-by-race,"Disparity Index by Race","Disparidad Índice por raza"
table_number-of-stops-by-race,"Number of Stops by Race","Número de Paradas por raza"
table_rates-by-race,"Rates by Race","Tasas por raza"
table_search-statistics,"Search Statistics","Registro Estadísticas"
section_arrest-charge,"Arrest Charge","Arresto Cargo"
section_arrest-violation,"Arrest Violation","Arresto Infracción"
section_citation-warning-violation,"Citation Warning Violation","Citaciones Advertencia Infracción"
section_contraband-found,"Contraband Found","Contrabando Encontrado"
section_contraband-hit-rate,"Contraband Hit Rate","Contrabando Acierto Tasa"
section_disparity-index,"Disparity Index","Disparidad Índice"
section_driver-age,"Driver Age","Conductor Edad"
section_driver-gender,"Driver Gender","Conductor Género"
